Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,LatB,LongB,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,,AddressBR,LatBR,LongBR,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,,AddressM,LatM,LongM,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,,AddressQ,LatQ,LongQ,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,,LatQ,LongQ
bronx,BRONX,1,12-05333,2294,43,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,43,City,40938,460 WESTCHESTER AVENUe,40.816184,-73.914816,,,,,,brooklyn,BROOKLYN,1,11-11878,2147,1,City,41061,115 DIVISION AVENUE,40.7078501,-73.9637644,,,,,,manhattan,MANHATTAN,10,11-11702,1599,69,City,41153,66 WEST 116 STREET,40.801633,-73.9493121,,,,,,queens,QUEENS,3,11-11673,1725,1,City,41153,33-12 111 STREET,40.757469,-73.858624,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,12,Private,40935,100 CENTRAL AVENUE,40.639043,-74.077596
bronx,BRONX,1,12-05333,2294,55,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,55,City,40938,BERGEN AVENUE,40.826184,-73.914816,,,,,,brooklyn,BROOKLYN,1,11-11684,2399,17,Private,41030,381 SOUTH 1 STREET,40.710501,-73.952124,,,,,,manhattan,MANHATTAN,10,11-11886,1831,47,City,40921,230 WEST 116 STREET,40.80362,-73.954052,,,,,,queens,QUEENS,3,11-11071,1778,16,Private,41061,BETWEEN 108-52 & 108-42 37 DRIVE,40.753123,-73.859996,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,129,Private,40935,100 CENTRAL AVENUE,40.639043,-74.076596
bronx,BRONX,1,12-05333,2294,59,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,59,City,40938,BERGEN AVENUE,40.816184,-73.914816,,,,,,brooklyn,BROOKLYN,1,11-11684,2399,19,Private,41030,381 SOUTH 1 STREET,40.710501,-73.962124,,,,,,manhattan,MANHATTAN,10,11-11757,1911,61,City,41000,2133 7 AVENUE,40.809819,-73.947589,,,,,,queens,QUEENS,3,11-11071,1778,17,Private,41061,108-52 & 108-42 37 DRIVE,40.753123,-73.869996,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,131,Private,40935,ADJ. 100 CENTRAL AVENUE,40.639043,-74.072
bronx,BRONX,1,11-11869,2585,19,Private,40927,ADJ. 840 EAST 134 STREET betw WALNUT AVENUE & AMTRAK RAILROAD,,,,,,,,bronx,BRONX,1,11-11869,2585,19,Private,40927,840 EAST 134 STREET,40.800539,-73.911457,,,,,,brooklyn,BROOKLYN,1,11-11735,2412,124,Private,41030, 373 SOUTH 2 STREET,40.710013,-73.952491,,,,,,manhattan,MANHATTAN,10,11-11757,1911,62,City,41000,2133 7 AVENUE betw WEST 127 STREET & WEST 126 STREET,40.813406,-73.955081,,,,,,queens,QUEENS,3,11-11071,1778,18,Private,41061,BETWEEN 108-52 & 108-42 37 DRIVE,40.753123,-73.870996,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,132,Private,40935,ADJ. 100 CENTRAL AVENUE,40.639043,-74.079
bronx,BRONX,1,12-05386,2617,20,City,40939,AT 672 ST ANNS AVENUE betw EAST 156 STREET & RAE STREET,,,,,,,,bronx,BRONX,1,12-05386,2617,20,City,40939,672 ST ANNS AVENUE,40.8173509,-73.9111303,,,,,,brooklyn,BROOKLYN,2,11-11944,56,37,City,40921,111 GOLD STREET,40.7016188,-73.9826471,,,,,,manhattan,MANHATTAN,10,11-11935,1915,36,City,40933,413 LENOX AVENUE,40.8114499,-73.9428899,,,,,,queens,QUEENS,4,11-11674,1941,50,Private,40933,102-14 LEWIS AVENUE betw 103 STREET & 102 STREET,40.740986,-73.858148,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,135,Private,40935,ADJ. 100 CENTRAL AVENUE,40.639043,-74.078
bronx,BRONX,1,12-05387,2624,73,City,40939,BETWEEN 665 & 669 CAULDWELL AVENUE,,,,,,,,bronx,BRONX,1,12-05387,2624,73,City,40939,BETWEEN 665 & 669 CAULDWELL AVENUE,40.817186,-73.909544,,,,,,brooklyn,BROOKLYN,2,12-05053,389,27,City,40939,"350 Bergen St,Brooklyn,NY 11217",40.6825776,-73.9803744,,,,,,manhattan,MANHATTAN,10,11-11323,2007,16,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,40.805717,-73.966318,,,,,,queens,QUEENS,4,11-11671,1980,1,Private,40932,102-18 45 AVENUE betw 104 STREET & 102 STREET,40.746368,-73.861723,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,136,Private,40935,ADJ. 100 CENTRAL AVENUE,40.639043,-74.077
bronx,BRONX,3,12-05385,2381,43,City,40939,AT 451 EAST 159 STREET betw BEND & ELTON AVENUE,,,,,,,,bronx,BRONX,3,12-05385,2381,43,City,40939,AT 451 EAST 159 STREET betw BEND & ELTON AVENUE,40.822522,-73.91246,,,,,,brooklyn,BROOKLYN,2,12-05053,389,29,City,40939,"350 Bergen St,Brooklyn,NY 11217",40.6825776,-73.9803744,,,,,,manhattan,MANHATTAN,10,11-11323,2007,17,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,40.805717,-73.976318,,,,,,queens,QUEENS,4,11-11671,1980,3,Private,40932,102-18 45 AVENUE betw 104 STREET & 102 STREET,40.746368,-73.871723,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,138,Private,40935,ADJ. 100 CENTRAL AVENUE,40.639043,-74.076596
bronx,BRONX,3,12-05331,2383,35,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,35,City,40934,421 EAST 161 STREET,40.824276,-73.912896,,,,,,brooklyn,BROOKLYN,3,12-05114,1718,15,City,40933,40 NOSTRAND AVENUE betw PARK AVENUE & LEE AVENUE,40.698683,-73.9661002,,,,,,manhattan,MANHATTAN,10,11-11323,2007,18,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,40.805717,-73.956318,,,,,,queens,QUEENS,4,11-11837,2018,500,City,40921,42-06 114 STREET,40.750867,-73.852064,,,,,,,,staten island,STATEN ISLAND,1,11-11745,35,110,Private,40935,BETWEEN 115 & 109 BROOK STREET,40.636911,-74.084559
bronx,BRONX,3,12-05331,2383,37,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,37,City,40934,ELTON AVENUE,40.821494,-73.913392,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,24,City,41061,782 MYRTLE AVENUE,40.6949532,-73.9511595,,,,,,manhattan,MANHATTAN,10,11-11690,2007,27,Private,41153,BETWEEN 105 & 101 WEST 138 STREET,40.795463,-73.963805,,,,,,queens,QUEENS,7,11-10318,4667,37,Private,41214,17-34 150 STREET betw 18 AVENUE & 17 ROAD,40.783122,-73.814229,,,,,,,,staten island,STATEN ISLAND,1,11-11713,36,3,Private,41030,445 JERSEY STREET,40.6375568,-74.0866697
bronx,BRONX,3,12-05331,2383,39,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,39,City,40934,ELTON AVENUE,40.821494,-73.923392,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,25,City,41061,782 MYRTLE AVENUE,40.6949532,-73.9511595,,,,,,manhattan,MANHATTAN,11,11-11801,1616,31,Private,41030,ADJ. 81 EAST 110 STREET betw PARK AVENUE & MADISON AVENUE,40.792107,-73.9371783,,,,,,queens,QUEENS,7,11-11714,4950,103,City,40921,135-01 35 AVENUE,40.764769,-73.83155,,,,,,,,staten island,STATEN ISLAND,1,11-11657,106,57,Private,41183,ADJ. 38 PINE STREET betw CORSON AVENUE & BRIGHTON AVENUE,40.636082,-74.087668
