Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,,,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,AddressBR,,,,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,AddressM,,,,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,AddressQ,,,,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,
bronx,BRONX,1,12-05333,2294,43,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,43,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,brooklyn,BROOKLYN,1,11-11878,2147,1,City,41061,ADJ. 115 DIVISION AVENUE betw DRIGGS AVENUE & BEDFORD AVENUE,,,,,,,,manhattan,MANHATTAN,10,11-11702,1599,69,City,41153,ADJ. 66 WEST 116 STREET betw LENOX AVENUE & EAST 116 STREET,,,,,,,,queens,QUEENS,3,11-11673,1725,1,City,41153,ADJ. 33-12 111 STREET betw 34 AVENUE & NORTHERN BOULEVARD,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,12,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,1,12-05333,2294,55,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,55,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,brooklyn,BROOKLYN,1,11-11684,2399,17,Private,41030,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION,,,,,,,,manhattan,MANHATTAN,10,11-11886,1831,47,City,40921,ADJ. 230 WEST 116 STREET betw 8 AVENUE & DR REV WYATT TEE WALKER SQUARE,,,,,,,,queens,QUEENS,3,11-11071,1778,16,Private,41061,BETWEEN 108-52 & 108-42 37 DRIVE,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,129,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,1,12-05333,2294,59,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,bronx,BRONX,1,12-05333,2294,59,City,40938,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE,,,,,,,,brooklyn,BROOKLYN,1,11-11684,2399,19,Private,41030,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION,,,,,,,,manhattan,MANHATTAN,10,11-11757,1911,61,City,41000,ADJ. 2133 7 AVENUE betw WEST 127 STREET & WEST 126 STREET,,,,,,,,queens,QUEENS,3,11-11071,1778,17,Private,41061,BETWEEN 108-52 & 108-42 37 DRIVE,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,131,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,1,11-11869,2585,19,Private,40927,ADJ. 840 EAST 134 STREET betw WALNUT AVENUE & AMTRAK RAILROAD,,,,,,,,bronx,BRONX,1,11-11869,2585,19,Private,40927,ADJ. 840 EAST 134 STREET betw WALNUT AVENUE & AMTRAK RAILROAD,,,,,,,,brooklyn,BROOKLYN,1,11-11735,2412,124,Private,41030,ADJ. 373 SOUTH 2 STREET betw HOOPER STREET & KEAP STREET,,,,,,,,manhattan,MANHATTAN,10,11-11757,1911,62,City,41000,ADJ. 2133 7 AVENUE betw WEST 127 STREET & WEST 126 STREET,,,,,,,,queens,QUEENS,3,11-11071,1778,18,Private,41061,BETWEEN 108-52 & 108-42 37 DRIVE,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,132,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,1,12-05386,2617,20,City,40939,AT 672 ST ANNS AVENUE betw EAST 156 STREET & RAE STREET,,,,,,,,bronx,BRONX,1,12-05386,2617,20,City,40939,AT 672 ST ANNS AVENUE betw EAST 156 STREET & RAE STREET,,,,,,,,brooklyn,BROOKLYN,2,11-11944,56,37,City,40921,ADJ. 111 GOLD STREET betw YORK STREET & FRONT STREET,,,,,,,,manhattan,MANHATTAN,10,11-11935,1915,36,City,40933,ADJ. 413 LENOX AVENUE betw WEST 131 STREET & WEST 130 STREET,,,,,,,,queens,QUEENS,4,11-11674,1941,50,Private,40933,ADJ. 102-14 LEWIS AVENUE betw 103 STREET & 102 STREET,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,135,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,1,12-05387,2624,73,City,40939,BETWEEN 665 & 669 CAULDWELL AVENUE,,,,,,,,bronx,BRONX,1,12-05387,2624,73,City,40939,BETWEEN 665 & 669 CAULDWELL AVENUE,,,,,,,,brooklyn,BROOKLYN,2,12-05053,389,27,City,40939,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE,,,,,,,,manhattan,MANHATTAN,10,11-11323,2007,16,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,,,,,,,,queens,QUEENS,4,11-11671,1980,1,Private,40932,ADJ. 102-18 45 AVENUE betw 104 STREET & 102 STREET,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,136,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,3,12-05385,2381,43,City,40939,AT 451 EAST 159 STREET betw BEND & ELTON AVENUE,,,,,,,,bronx,BRONX,3,12-05385,2381,43,City,40939,AT 451 EAST 159 STREET betw BEND & ELTON AVENUE,,,,,,,,brooklyn,BROOKLYN,2,12-05053,389,29,City,40939,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE,,,,,,,,manhattan,MANHATTAN,10,11-11323,2007,17,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,,,,,,,,queens,QUEENS,4,11-11671,1980,3,Private,40932,ADJ. 102-18 45 AVENUE betw 104 STREET & 102 STREET,,,,,,,,,,staten island,STATEN ISLAND,1,12-05113,6,138,Private,40935,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
bronx,BRONX,3,12-05331,2383,35,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,35,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05114,1718,15,City,40933,ADJ. 40 NOSTRAND AVENUE betw PARK AVENUE & LEE AVENUE,,,,,,,,manhattan,MANHATTAN,10,11-11323,2007,18,Private,41183,BETWEEN 125 & 117 WEST 138 STREET,,,,,,,,queens,QUEENS,4,11-11837,2018,500,City,40921,OPPOSITE OF 42-06 114 STREET betw 43 AVENUE & 42 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11745,35,110,Private,40935,BETWEEN 115 & 109 BROOK STREET
bronx,BRONX,3,12-05331,2383,37,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,37,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,24,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,10,11-11690,2007,27,Private,41153,BETWEEN 105 & 101 WEST 138 STREET,,,,,,,,queens,QUEENS,7,11-10318,4667,37,Private,41214,ADJ. 17-34 150 STREET betw 18 AVENUE & 17 ROAD,,,,,,,,,,staten island,STATEN ISLAND,1,11-11713,36,3,Private,41030,NEAR 445 JERSEY STREET betw CORSON AVENUE & BEND
bronx,BRONX,3,12-05331,2383,39,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,39,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,25,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,11,11-11801,1616,31,Private,41030,ADJ. 81 EAST 110 STREET betw PARK AVENUE & MADISON AVENUE,,,,,,,,queens,QUEENS,7,11-11714,4950,103,City,40921,ADJ. 135-01 35 AVENUE betw LINDEN PLACE & FARRINGTON STREET,,,,,,,,,,staten island,STATEN ISLAND,1,11-11657,106,57,Private,41183,ADJ. 38 PINE STREET betw CORSON AVENUE & BRIGHTON AVENUE
