year,malt,rice,hop,hopextract,hoprate,hopacreage,aromahop,hopvariety,hopincrease,noS,noM,noL,noXL,production,craftproduction,craftincrease,ipa,paleale,amber,stout,pilsner,light,fruit
2007,4488,868,54,6165599,0.93,30911,21.8,85,,1511,88,3,17,198947456,9.8,,93.5,125.5,54,15.6,16.3,10.4,30.5
2008,4498,816,55,6019292,0.95,40898,19.8,90,5.882352941,1585,83,9,11,199466287,10.4,6.12244898,103.6,127.7,57,19.4,14.3,15.6,36.4
2009,4346,724,62,4117287,1.12,39726,20.9,88,-2.222222222,1671,85,4,18,196254418,11.5,10.57692308,90.5,129.9,60,12.4,10.4,17.5,34.7
2010,4129,712,91,4275858,1.185,31289,26,92,4.545454545,1735,62,5,17,194597129,12.48333333,8.550724638,100.4,132.1,63,10.3,12.4,14.5,30.5
2011,4022,748,108,3831826,1.28,29787,31.9,97,5.434782609,1995,77,5,16,192528401,17.5,40.18691589,80.2,134.3,66,13.5,10.2,10.4,38.1
2012,4107,717,119,4219099,1.296,29683,41.6,105,8.24742268,2339,71,3,17,195739089,20.4,16.57142857,180.9,136.5,69,12.5,15.2,9.6,45.2
2013,3955,724,82,3887149,1.362,35288,62.7,114,8.571428571,2752,73,4,17,191604938,23.5,15.19607843,281.6,138.7,72,15.5,13.3,8.2,52.3
2014,3916,724,82,3902444,1.43,38011,69.9,132,15.78947368,3277,75,6,15,192557614,24.6,4.680851064,382.3,140.9,75,23.5,17.8,8,59.4
2015,3669,604,311,3611505,1.46,43633,74.2,148,12.12121212,4399,84,6,15,191148441,25.4,3.25203252,483,143.1,78,31.5,22.3,7.8,66.5
2016,3320,623,328,57905,1.5,50857,77.3,162,9.459459459,4982,93,7,14,189856742,27.5,8.267716535,583.7,145.3,81,39.5,26.8,7.6,73.6
2017,3020,586,334,29141,1.55,53282,78.2,176,8.641975309,5533,95,5,15,185574547,29.7,8,684.4,147.5,84,47.5,31.3,7.4,80.7
